Name,Internal codename[9],Version number(s),APIlevel,Initial stablerelease date,Latest security patch date[14],Latest Google Play Services version[15](release date)
Android 1.0,N/A,Old version, no longer maintained: 1.,1,September 23, 200,N/,N/
Android 1.1,Petit Four,Old version, no longer maintained: 1.,2,February 9, 200
Android Cupcake,Cupcake,Old version, no longer maintained: 1.,3,April 27, 200
Android Donut,Donut,Old version, no longer maintained: 1.,4,September 15, 200
Android Eclair,Eclair,Old version, no longer maintained: 2.,5,October 27, 200
Old version, no longer maintained: 2.0.1,6,December 3, 200
Old version, no longer maintained: 2.1,7,January 11, 2010[16
Android Froyo,Froyo,Old version, no longer maintained: 2.2 – 2.2.,8,May 20, 201,3.2.25 (October 2014
Android Gingerbread,Gingerbread,Old version, no longer maintained: 2.3 – 2.3.,9,December 6, 201,10.0.84 (November 2016
Old version, no longer maintained: 2.3.3 – 2.3.7,10,February 9, 201
Android Honeycomb,Honeycomb,Old version, no longer maintained: 3.,11,February 22, 201
Old version, no longer maintained: 3.1,12,May 10, 201
Old version, no longer maintained: 3.2 – 3.2.6,13,July 15, 201
Android Ice Cream Sandwich,Ice Cream Sandwich,Old version, no longer maintained: 4.0 – 4.0.,14,October 18, 201,14.8.49 (February 2019
Old version, no longer maintained: 4.0.3 – 4.0.4,15,December 16, 201
Android Jelly Bean,Jelly Bean,Old version, no longer maintained: 4.1 – 4.1.,16,July 9, 201,21.33.56 (September 2021
Old version, no longer maintained: 4.2 – 4.2.2,17,November 13, 201
Old version, no longer maintained: 4.3 – 4.3.1,18,July 24, 201
Android KitKat,Key Lime Pie,Old version, no longer maintained: 4.4 – 4.4.,19,October 31, 201,October 201,22.15.14 (May 2022
Old version, no longer maintained: 4.4W – 4.4W.2,20,June 25, 201,?
Android Lollipop,Lemon Meringue Pie,Old version, no longer maintained: 5.0 – 5.0.,21,November 4, 2014[17,November 201
Old version, no longer maintained: 5.1 – 5.1.1,22,March 2, 2015[18,March 2018
Android Marshmallow,Macadamia Nut Cookie,Old version, no longer maintained: 6.0 – 6.0.,23,October 2, 2015[19,August 201
Android Nougat,New York Cheesecake,Old version, no longer maintained: 7.,24,August 22, 201,August 201
Old version, no longer maintained: 7.1 – 7.1.2,25,October 4, 201,October 2019
Android Oreo,Oatmeal Cookie,Old version, no longer maintained: 8.,26,August 21, 201,January 202
Old version, no longer maintained: 8.1,27,December 5, 201,October 2021
Android Pie,Pistachio Ice Cream[20],Old version, no longer maintained: ,28,August 6, 201,January 202
Android 10,Quince Tart[21],Older version, yet still maintained: 1,29,September 3, 201,May 202
Android 11,Red Velvet Cake[21],Older version, yet still maintained: 1,30,September 8, 202
Android 12,Snow Cone,Older version, yet still maintained: 1,31,October 4, 202
Android 12L,Snow Cone v2,Current stable version: 12.1[a][b,32,March 7, 202
Android 13,Tiramisu[23],Latest preview version of a future release: 13[c,33,Q3 202,
